,,sGA-1X,sGA-1X,sGA-1X,sGA-1X,sGA-UX,sGA-UX,sGA-UX,sGA-UX
,selection,MRPS,MRPS,Evaluations,Evaluations,MRPS,MRPS,Evaluations,Evaluations
,problem_size,mean,std,mean,std,mean,std,mean,std
0,10,122.4,37.70198933743417,504.32,191.24759240314634,393.6,109.03504023936526,1331.2,614.4
1,20,331.2,87.06411430664187,3123.2,983.5198828696856,3891.2,558.5260602693486,56934.4,17031.678268450236
2,40,902.4,129.4319898634028,16486.4,4834.538141332634,-1,,,
3,80,3328.0,379.70936253929796,84582.4,4300.799999999999,-1,,,
4,160,-1,,,,-1,,,
