,#gen,xbest,f(xbest),eval
0,1,"[-4.34862735 -2.16552028 -0.88000068 -0.44152037  1.85427229 -3.11621786
  2.57274389  3.29389536  1.28900046  1.73005857]",59.84190137431265,256
1,2,"[-3.50280362 -2.29030946 -1.01476868 -0.88174977  1.36084743 -2.66263522
  2.20072664  2.92827309  1.94917121  1.38989275]",47.41297206205712,512
2,3,"[-3.00925025 -1.7091476  -1.05991992 -0.82802299  0.8095679  -2.65930423
  1.90171909  2.80762954  1.67466467  1.72691642]",38.7991853137312,768
3,4,"[-2.0748725  -2.09760227 -0.4284219  -0.42432276  0.43591618 -2.22442273
  1.53067844  2.49931171  0.91397297  1.56838716]",26.0914260950176,1024
4,5,"[-2.20556428 -1.82462796 -0.04666974 -0.27792554 -0.22930655 -1.31260612
  1.08121139  1.80042538  0.43032064  1.53490768]",17.00038503983202,1280
5,6,"[-1.5052653  -1.14050677  0.01090648 -0.0523344   0.09851733 -0.98425336
  1.68116517  1.24671446  0.42809633  1.43123544]",11.160212123310586,1536
6,7,"[-1.39824976 -0.77620027  0.08484218 -0.03189301 -0.13151208 -0.58901121
  0.744071    1.17368302  0.83302417  1.15261979]",6.883669376896007,1792
7,8,"[-0.73621681 -0.65290237 -0.31340635 -0.03308937  0.04819644 -0.29484199
  1.10021717  0.77189279  0.51654825  0.23385525]",3.2846764997635285,2048
8,9,"[-0.45645887 -0.3037154  -0.64311033 -0.21311702 -0.16443507  0.32052545
  0.46700037  0.21317495  0.46109766  0.34590388]",1.4851764178802604,2304
9,10,"[-0.51837589 -0.13074229 -0.48197956 -0.25249204  0.02940844 -0.16807822
  0.0952246   0.04763375  0.16471545  0.26819024]",0.7213726584342212,2560
10,11,"[-0.1747885   0.2738223  -0.01474959  0.03457002  0.26638991 -0.11513206
  0.32861959  0.02947374  0.17255769  0.10036289]",0.3398696894170142,2816
11,12,"[ 0.0384367  -0.01589907 -0.31484796  0.01107257 -0.19822599 -0.00140768
  0.40451073 -0.06457174 -0.12557543  0.12781382]",0.3401815281785151,3072
12,13,"[-0.29407497 -0.15943532  0.19294548  0.2184962  -0.01396956 -0.05890074
 -0.08301322 -0.01382435  0.27673733 -0.07830238]",0.290329825813996,3328
13,14,"[-0.07518149 -0.00182877  0.19158055  0.15012009  0.17437964 -0.01106483
 -0.02598151 -0.30914672  0.06618526  0.22405251]",0.24625219392025466,3584
14,15,"[ 0.15853491  0.20701699 -0.00978165 -0.05113266  0.34355418 -0.07489454
  0.04179934 -0.01815159 -0.14976713  0.15489218]",0.24283669567161428,3840
