,#gen,xbest,f(xbest),eval
0,0,"[2.27490278 1.47779897 1.32493677 2.9062363  1.78494126 0.97287848
 1.81252604 1.36268652 1.26494678 1.23757329]",-3.423689695556102,512
1,1,"[2.66985639 1.48428103 1.14300734 0.96457911 0.99116178 2.41176183
 1.48466355 1.85700946 0.05642988 1.59263715]",-3.9491362133407764,1024
2,2,"[2.66985639 1.48428103 1.14300734 0.96457911 0.99116178 2.41176183
 1.48466355 1.85700946 0.05642988 1.59263715]",-3.9491362133407764,1536
3,3,"[2.66985639 1.48428103 1.14300734 0.96457911 0.99116178 2.41176183
 1.48466355 1.85700946 0.05642988 1.59263715]",-3.9491362133407764,2048
4,4,"[2.32750412 3.141569   1.34528522 0.         0.89806585 0.89138754
 2.95872463 1.75592852 2.14775889 1.55401083]",-4.167340393004095,2560
5,5,"[2.32750412 3.141569   1.34528522 0.         0.89806585 0.89138754
 2.95872463 1.75592852 2.14775889 1.55401083]",-4.167340393004095,3072
6,6,"[2.32750412 3.141569   1.34528522 0.         0.89806585 0.89138754
 2.95872463 1.75592852 2.14775889 1.55401083]",-4.167340393004095,3584
7,7,"[2.32750412 3.141569   1.34528522 0.         0.89806585 0.89138754
 2.95872463 1.75592852 2.14775889 1.55401083]",-4.167340393004095,4096
8,8,"[2.32750412 3.141569   1.34528522 0.         0.89806585 0.89138754
 2.95872463 1.75592852 2.14775889 1.55401083]",-4.167340393004095,4608
9,9,"[0.23867272 1.5327962  2.40176815 0.         0.72467628 0.87227785
 2.2026318  1.37933835 1.65823929 1.24875988]",-4.499246065159175,5120
10,10,"[0.23867272 1.5327962  2.40176815 0.         0.72467628 0.87227785
 2.2026318  1.37933835 1.65823929 1.24875988]",-4.499246065159175,5632
11,11,"[0.23867272 1.5327962  2.40176815 0.         0.72467628 0.87227785
 2.2026318  1.37933835 1.65823929 1.24875988]",-4.499246065159175,6144
12,12,"[0.23867272 1.5327962  2.40176815 0.         0.72467628 0.87227785
 2.2026318  1.37933835 1.65823929 1.24875988]",-4.499246065159175,6656
13,13,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,7168
14,14,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,7680
15,15,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,8192
16,16,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,8704
17,17,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,9216
18,18,"[0.57985649 1.49740435 3.00839592 1.13115698 3.10040546 3.141569
 1.44832314 0.7647727  1.2815325  1.58341249]",-5.121275027622382,9728
19,19,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,10240
20,20,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,10752
21,21,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,11264
22,22,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,11776
23,23,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,12288
24,24,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,12800
25,25,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,13312
26,26,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,13824
27,27,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,14336
28,28,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,14848
29,29,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,15360
30,30,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,15872
31,31,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,16384
32,32,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,16896
33,33,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,17408
34,34,"[0.23867272 1.5327962  1.28632189 3.141569   0.72467628 2.01410578
 1.45223473 1.37933835 1.95521114 1.06380153]",-5.435435298286704,17920
