,#gen,xbest,f(xbest),eval
0,0,"[0.99999889 0.99999801 0.9999985  1.00000022 0.99999695 0.99999427
 0.99998938 0.99997918 0.99995642 0.99991263]",184143.2878373085,32
1,1,"[0.99999889 0.99999801 0.9999985  1.00000022 0.99999695 0.99999427
 0.99998938 0.99997918 0.99995642 0.99991263]",184143.2878373085,64
2,2,"[0.99999889 0.99999801 0.9999985  1.00000022 0.99999695 0.99999427
 0.99998938 0.99997918 0.99995642 0.99991263]",184143.2878373085,96
3,3,"[-1.32307799  2.6074048   5.78614845  2.43875295  2.54888421 -1.16308042
 -0.79557299  2.53042134 -5.          1.34422623]",173416.92326250387,128
4,4,"[-1.32307799  2.6074048   5.78614845  2.43875295  2.54888421 -1.16308042
 -0.79557299  2.53042134 -5.          1.34422623]",173416.92326250387,160
5,5,"[ 0.1504563   1.475205   -1.43243548 -5.          3.96975847  4.02067246
 -2.88085505 -1.45534048  0.5840742   2.23381604]",110960.50351849131,192
6,6,"[-2.92554984  0.60137209 -3.21708157 -3.17295861 -0.53429081 -0.67406357
  1.91369948  4.50496162 -1.45355046  3.75491617]",85158.32617557027,224
7,7,"[-2.92554984  0.60137209 -3.21708157 -3.17295861 -0.53429081 -0.67406357
  1.91369948  4.50496162 -1.45355046  3.75491617]",85158.32617557027,256
8,8,"[-2.92554984  0.60137209 -3.21708157 -3.17295861 -0.53429081 -0.67406357
  1.91369948  4.50496162 -1.45355046  3.75491617]",85158.32617557027,288
9,9,"[-2.92554984  0.60137209 -3.21708157 -3.17295861 -0.53429081 -0.67406357
  1.91369948  4.50496162 -1.45355046  3.75491617]",85158.32617557027,320
10,10,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,352
11,11,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,384
12,12,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,416
13,13,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,448
14,14,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,480
15,15,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,512
16,16,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,544
17,17,"[ 3.29581136  2.70771324 -0.16738978 -0.91414328 -0.3947715  -2.7062798
  1.39245587  1.22225833 -5.         10.        ]",43684.65412774765,576
18,18,"[-2.92313298  0.0544757   0.51878991  1.20868299 -0.11448195  1.99492085
  0.6264243   0.95187599 -1.79769603  6.76012375]",11122.74604223835,608
19,19,"[-2.92313298  0.0544757   0.51878991  1.20868299 -0.11448195  1.99492085
  0.6264243   0.95187599 -1.79769603  6.76012375]",11122.74604223835,640
20,20,"[-2.92313298  0.0544757   0.51878991  1.20868299 -0.11448195  1.99492085
  0.6264243   0.95187599 -1.79769603  6.76012375]",11122.74604223835,672
21,21,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,704
22,22,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,736
23,23,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,768
24,24,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,800
25,25,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,832
26,26,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,864
27,27,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,896
28,28,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,928
29,29,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,960
30,30,"[ 1.68786988  1.71770163  0.92034563  0.50645763 -1.01453072 -1.51878312
  0.06717002  0.81563928  3.24090916 10.        ]",2636.1774640727094,992
