,#gen,xbest,f(xbest),eval
0,1,"[-0.43507232  7.02831359  3.52593075  2.59487099  0.78812212  1.95873861
 -0.31255986 -1.32253227 -4.11068412 -0.10890464]",92.41868250020153,256
1,2,"[ 1.26403585  5.03175455  3.85910183  0.99122025  0.80704827  2.08089477
  0.78955996 -0.05310774 -4.03142668 -1.15494623]",66.61108880133641,512
2,3,"[ 1.19203194  4.76217441  3.4124655   0.87780286  0.97024868  2.27065117
  0.68235519 -0.34100609 -3.65757845 -1.17707751]",58.055042358427066,768
3,4,"[ 0.35421306  4.37757985  3.28954703  0.90194327  0.25804471  1.82786223
  0.69339264 -0.09686203 -3.88977754 -0.45479879]",50.721757090481816,1024
4,5,"[ 1.22268256  4.20128995  2.33287619  0.28675986  0.66778514  1.81200539
  0.59239018 -0.45742423 -3.46815748 -0.08492655]",41.187718682547626,1280
5,6,"[ 0.84450882  4.12486196  2.26127144  0.14115704  0.97481963  0.90541077
  0.77572362 -0.37402584 -2.87018743 -0.2895537 ]",33.95066478923663,1536
6,7,"[ 0.69292473  4.18020179  1.670184   -0.10261718  1.0574965   0.90626395
  0.5719728  -0.68739862 -2.37414772 -0.20051076]",29.46713118195789,1792
7,8,"[ 0.11852593  3.72907953  1.21205908  0.01838681  1.33175849  0.72603391
  0.27130675 -0.63946071 -1.98409168 -0.04103669]",23.226642715937047,2048
8,9,"[ 0.20315897  3.21328998  1.27566072  0.51001408  1.55176044  0.25063184
  0.10407806 -0.49785064 -1.43420248 -0.57070067]",17.37821372441199,2304
9,10,"[ 0.5501475   2.66700528  1.63285557  0.14981701  1.26968477 -0.3229414
  0.13663806 -0.76802929 -0.72775281 -0.3546654 ]",13.410124661255237,2560
10,11,"[-0.04852759  2.4326662   0.90719956  0.57039782  1.53450504 -0.21189942
 -0.14306015 -0.65698223 -1.09372229 -0.0680742 ]",11.533816925623421,2816
11,12,"[-0.45589674  1.77194782  1.755074    0.22525209  0.85005861 -0.30685708
  0.1843492  -0.28193818 -1.40433397  0.22137327]",9.510171180723468,3072
