,#gen,xbest,f(xbest),eval
0,0,"[2.20290552 1.57079633 1.28499157 1.92305847 1.72046977 1.57079633
 1.45441397 1.36057174 1.65571742 1.57079633]",-2.3205554762726974,32
1,1,"[0.21225963 2.88213116 0.32241676 2.83273818 0.         2.72923568
 1.86412424 2.64056432 1.64211482 0.62969468]",-2.337047034400237,64
2,2,"[1.50923431 0.14842915 1.31498336 3.141569   0.2047843  1.56946644
 0.82499339 0.60157015 0.10651628 1.33276964]",-2.6256130763319443,96
3,3,"[1.50923431 0.14842915 1.31498336 3.141569   0.2047843  1.56946644
 0.82499339 0.60157015 0.10651628 1.33276964]",-2.6256130763319443,128
4,4,"[2.24056335 1.15124226 2.2192957  3.141569   1.55867393 1.94499229
 1.06069726 1.13778721 1.28143042 2.33958267]",-3.1316415971832985,160
5,5,"[2.24056335 1.15124226 2.2192957  3.141569   1.55867393 1.94499229
 1.06069726 1.13778721 1.28143042 2.33958267]",-3.1316415971832985,192
6,6,"[2.24056335 1.15124226 2.2192957  3.141569   1.55867393 1.94499229
 1.06069726 1.13778721 1.28143042 2.33958267]",-3.1316415971832985,224
7,7,"[2.24056335 1.15124226 2.2192957  3.141569   1.55867393 1.94499229
 1.06069726 1.13778721 1.28143042 2.33958267]",-3.1316415971832985,256
8,8,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,288
9,9,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,320
10,10,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,352
11,11,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,384
12,12,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,416
13,13,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,448
14,14,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,480
15,15,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,512
16,16,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,544
17,17,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,576
18,18,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,608
19,19,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,640
20,20,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,672
21,21,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,704
22,22,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,736
23,23,"[2.22236938 0.18623449 1.23404779 2.77568811 0.2047843  1.56946644
 0.82499339 2.59417461 1.42960819 1.33276964]",-3.7570155220711388,768
