,#gen,xbest,f(xbest),eval
0,0,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,512
1,1,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,1024
2,2,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,1536
3,3,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,2048
4,4,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,2560
5,5,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,3072
6,6,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,3584
7,7,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,4096
8,8,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,4608
9,9,"[2.19051312 1.53387267 1.35714742 0.         3.141569   1.56677924
 0.80082519 1.36275567 1.94761978 2.98374019]",-4.218016865608114,5120
10,10,"[2.10673978 3.141569   1.23737526 0.         0.51700464 0.51940971
 0.80402847 2.35982978 1.67590075 1.85177618]",-4.393264469411346,5632
11,11,"[2.10673978 3.141569   1.23737526 0.         0.51700464 0.51940971
 0.80402847 2.35982978 1.67590075 1.85177618]",-4.393264469411346,6144
12,12,"[2.10673978 3.141569   1.23737526 0.         0.51700464 0.51940971
 0.80402847 2.35982978 1.67590075 1.85177618]",-4.393264469411346,6656
13,13,"[2.10673978 3.141569   1.23737526 0.         0.51700464 0.51940971
 0.80402847 2.35982978 1.67590075 1.85177618]",-4.393264469411346,7168
14,14,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,7680
15,15,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,8192
16,16,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,8704
17,17,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,9216
18,18,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,9728
19,19,"[2.21923708 1.60540787 2.90676352 1.14708917 1.24985786 2.71802947
 3.141569   1.33472408 2.21993321 2.31060553]",-4.951053191146302,10240
20,20,"[2.53658988 1.6110587  1.04309827 2.52937719 1.01355413 0.
 0.77729545 1.37137846 1.66277987 1.54873671]",-5.003387916020662,10752
21,21,"[2.53658988 1.6110587  1.04309827 2.52937719 1.01355413 0.
 0.77729545 1.37137846 1.66277987 1.54873671]",-5.003387916020662,11264
22,22,"[2.53658988 1.6110587  1.04309827 2.52937719 1.01355413 0.
 0.77729545 1.37137846 1.66277987 1.54873671]",-5.003387916020662,11776
23,23,"[2.53658988 1.6110587  1.04309827 2.52937719 1.01355413 0.
 0.77729545 1.37137846 1.66277987 1.54873671]",-5.003387916020662,12288
24,24,"[2.53658988 1.6110587  1.04309827 2.52937719 1.01355413 0.
 0.77729545 1.37137846 1.66277987 1.54873671]",-5.003387916020662,12800
25,25,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,13312
26,26,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,13824
27,27,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,14336
28,28,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,14848
29,29,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,15360
30,30,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,15872
31,31,"[2.22419551 1.49674523 2.33206718 1.09941937 0.98650306 0.90053644
 1.06420922 3.141569   1.27711936 3.141569  ]",-5.101570781831757,16384
