,#gen,xbest,f(xbest),eval
0,1,"[0.         1.53468458 1.40107733 1.16781389 1.70671174 3.141569
 0.56785542 0.39059305 2.34465619 0.        ]",-2.9686979504512805,64
1,2,"[0.52585917 1.70508202 0.60669177 1.06327056 1.09430147 3.141569
 1.49173881 0.81769241 2.19974352 0.48411984]",-2.9961674092833386,128
2,3,"[0.5095242  1.45062708 0.50943418 1.08167436 0.964845   3.141569
 2.40720115 1.32529976 1.62983946 0.88613733]",-3.254714404898386,192
3,4,"[0.57646454 1.55560013 0.16710954 0.66710892 0.69875899 2.53280278
 1.89060281 1.37290082 1.52142577 1.20762598]",-3.629620291254122,256
4,5,"[0.59699653 1.56224624 0.70424286 1.03568114 0.60520134 2.71793455
 2.1949828  2.16904896 1.94834222 0.63682969]",-3.448805842439567,320
5,6,"[0.3082028  1.47422686 0.77004198 1.16529118 1.09950683 3.141569
 2.16602852 1.74408322 2.45821555 0.55571366]",-3.2155858836363445,384
6,7,"[0.90082928 1.30652415 1.19995952 1.03330721 0.92853979 3.141569
 1.47000115 1.74162316 2.68975558 0.77080816]",-3.9454847601014347,448
7,8,"[0.56579136 1.49328642 1.69996255 0.99176891 0.95913203 3.141569
 1.90891932 2.08164817 2.87677068 0.89921951]",-3.354060735210497,512
8,9,"[1.68825898 1.50620296 1.60220388 0.98166886 1.67135839 2.9580393
 1.42937406 1.12885752 1.94859288 0.69625928]",-3.8088602162280685,576
9,10,"[2.21218485 1.57878148 1.56045578 1.16833034 1.21901765 2.65365945
 1.55757318 0.68468619 1.70389162 0.72553205]",-3.3513658279622276,640
10,11,"[2.67468621 1.71539372 1.53412231 1.12275123 0.89888555 2.42080671
 1.86777853 0.72458384 1.51937938 1.35016676]",-3.3584684984023725,704
11,12,"[2.20668712 1.37967949 1.09255372 0.72799573 0.96242801 2.8217913
 2.90786615 1.34693973 1.58754676 1.18828431]",-3.4254734542407066,768
12,13,"[2.06440123 1.41160413 1.23100129 0.83978882 1.03383702 3.04329402
 2.47838337 1.30697812 2.09036679 1.55388048]",-3.58034756163698,832
13,14,"[2.27816414 1.68507641 1.31559703 1.01606041 1.65463707 2.68132463
 2.10228098 1.24606145 2.47476508 0.58394365]",-3.32392519679708,896
14,15,"[2.62854657 1.64906305 1.52067074 1.02870648 1.70988942 2.04159025
 2.2098295  1.11504558 2.61912563 0.77780873]",-3.957142833476278,960
15,16,"[1.85401781 1.57471108 1.22962515 1.30014841 1.65176942 2.5905469
 2.22697542 1.26935377 2.67317874 1.25576369]",-3.7544687026271615,1024
16,17,"[2.01787566 1.63780598 1.37603792 1.17584793 1.70752539 2.20563539
 2.62775038 0.71314288 2.23807997 1.75562318]",-4.186832455723925,1088
17,18,"[2.47058904 1.56953102 1.42299959 1.02181601 1.41766946 1.89631049
 2.58764918 0.76413487 2.45683423 1.85248861]",-4.070078016541026,1152
18,19,"[2.37298205 1.59973433 1.07243972 1.20995259 2.5163867  2.05284241
 2.74711416 0.82300947 2.22585751 0.73547491]",-4.393561954106319,1216
19,20,"[1.84953629 1.6844569  1.34538002 0.93323641 2.20206702 1.71771822
 2.2426313  1.36101533 2.17465297 0.51228043]",-3.670047145472088,1280
20,21,"[2.38932665 1.42632139 1.32930139 1.05246289 2.65161261 1.60429382
 2.94180756 1.04554968 2.82968787 0.7783052 ]",-3.5224269271782185,1344
21,22,"[2.16850922 1.93510987 1.16159697 1.05790771 2.82368625 2.40030091
 1.89657525 0.         0.97097158 1.17612022]",-3.6507416935131554,1408
22,23,"[2.30155872 1.96457286 1.22369204 0.76256176 2.96705916 2.41099179
 1.51067386 0.         0.         1.58734822]",-3.1647133457870984,1472
23,24,"[2.25408335 1.69676685 1.32576255 1.54105011 3.141569   2.06978116
 1.6698391  0.12697377 1.68007435 1.0943572 ]",-2.988520454504586,1536
24,25,"[1.78777855 1.51166082 1.33558322 1.16237386 2.85323552 2.63087301
 1.21079585 0.31694224 0.47285478 1.56727385]",-3.447045788401991,1600
25,26,"[1.54456126 1.64333786 1.351005   0.58155854 2.72963096 2.39157472
 1.45334278 0.14450706 0.39650416 2.13586388]",-3.351093769317081,1664
26,27,"[1.69475689 1.34968489 1.2805064  1.04898151 2.05130387 2.89136505
 0.91245675 0.         0.57663335 1.55501436]",-2.925712869072711,1728
27,28,"[1.69547942 1.46562049 1.64350242 1.02315272 1.72405768 3.11303088
 1.17407933 0.27506833 0.78885465 1.5751029 ]",-3.565295195298727,1792
28,29,"[2.05605855 1.46251208 1.2798465  1.22773298 1.76736103 3.141569
 0.68575348 0.81346937 1.14706488 1.82906826]",-3.8557764033730875,1856
29,30,"[1.72275273 1.5700618  1.10486087 1.12878654 1.71254533 3.141569
 0.39663109 0.88809217 1.31530451 1.23186799]",-4.488880857699603,1920
30,31,"[2.26377509 1.67083371 1.20384166 1.21209686 1.99839941 2.63064683
 1.30432414 0.771297   1.2767499  1.98185605]",-4.037870917987954,1984
31,32,"[2.06139412 0.73635416 0.83218162 1.15686197 1.72002885 2.61877041
 1.86840308 0.98813937 1.34746345 2.00021696]",-3.28436456712177,2048
32,33,"[1.89015026 1.54934406 1.20670958 1.17418382 1.70595841 2.58384479
 1.40754456 0.73591315 1.5403978  1.7992496 ]",-4.244892011613604,2112
33,34,"[2.32174063 1.53601962 1.15628871 1.1463814  1.91648447 2.40633467
 1.54263216 0.93932226 1.94506617 2.07074831]",-4.2199454981956315,2176
34,35,"[2.25921446 1.6685224  1.22096684 0.99690134 1.73528262 2.03181938
 0.94886997 1.0372602  1.53749787 1.68217723]",-4.419747001615707,2240
35,36,"[2.19534467 2.68763892 1.47551766 1.15401504 2.36441394 2.53068039
 1.37866131 0.81207978 1.28612241 1.82042213]",-3.8466392277869463,2304
36,37,"[2.29962637 1.89978686 1.27789631 1.80459712 2.18694162 2.05309899
 0.33727304 0.77000078 1.9592107  1.83148914]",-4.641902517699801,2368
37,38,"[2.08958731 1.53277196 1.33515034 0.51230808 1.7373127  1.69017973
 1.05315092 0.79188351 1.83439686 2.21029563]",-4.00306396285696,2432
38,39,"[2.68500346 1.48692409 1.31257293 1.17120092 2.61544614 0.7782357
 0.82518117 0.29632991 1.39997501 1.9943293 ]",-3.634242062818363,2496
39,40,"[2.15201042 1.54144268 1.23026311 1.14081545 2.30733804 0.90148766
 1.38729043 0.28311361 1.32479505 1.75312813]",-4.675884535353035,2560
40,41,"[2.26015654 1.43112274 1.15674409 1.12784916 1.22474426 1.21998122
 1.21508586 0.34609899 2.21309798 1.88097485]",-3.6753621579218194,2624
