,#gen,xbest,f(xbest),eval
0,0,[2.20290552 1.57079632],-1.7569930808864342,512
1,1,[2.20290552 1.57079632],-1.7569930808864342,1024
2,2,[2.20290552 1.57079632],-1.7569930808864342,1536
3,3,[2.18277699 1.57444781],-1.7942606007568247,2048
4,4,[2.18277699 1.57444781],-1.7942606007568247,2560
5,5,[2.18277699 1.57444781],-1.7942606007568247,3072
6,6,[2.18277699 1.57444781],-1.7942606007568247,3584
7,7,[2.18277699 1.57444781],-1.7942606007568247,4096
8,8,[2.21325738 1.56108959],-1.7957699922783712,4608
9,9,[2.21325738 1.56108959],-1.7957699922783712,5120
10,10,[2.21888238 1.56878364],-1.7969724962270792,5632
11,11,[2.21888238 1.56878364],-1.7969724962270792,6144
12,12,[2.19545026 1.56668173],-1.7997198204835745,6656
13,13,[2.19545026 1.56668173],-1.7997198204835745,7168
14,14,[2.19569256 1.56878364],-1.8002970675147254,7680
15,15,[2.2044899  1.57474496],-1.800629744312491,8192
16,16,[2.20668171 1.56953395],-1.8010068158758032,8704
17,17,[2.20668171 1.56953395],-1.8010068158758032,9216
18,18,[2.20029779 1.57037101],-1.8011856951731584,9728
19,19,[2.2006981  1.57023625],-1.801211594922162,10240
20,20,[2.2044227  1.57167851],-1.8012344389108867,10752
21,21,[2.20362366 1.57001102],-1.8012700618100879,11264
22,22,[2.20247111 1.57114151],-1.8012955169233198,11776
23,23,[2.20247111 1.57114151],-1.8012955169233198,12288
24,24,[2.20247111 1.57114151],-1.8012955169233198,12800
25,25,[2.20247111 1.57114151],-1.8012955169233198,13312
26,26,[2.20291966 1.570481  ],-1.8012993807444095,13824
27,27,[2.20291966 1.570481  ],-1.8012993807444095,14336
28,28,[2.20291966 1.570481  ],-1.8012993807444095,14848
29,29,[2.20326595 1.57086189],-1.8013011242556463,15360
30,30,[2.20285365 1.57087238],-1.8013031321275619,15872
31,31,[2.20285237 1.57076397],-1.801303321785088,16384
32,32,[2.20285237 1.57076397],-1.801303321785088,16896
33,33,[2.20285237 1.57076397],-1.801303321785088,17408
34,34,[2.20285237 1.57076397],-1.801303321785088,17920
35,35,[2.20285237 1.57076397],-1.801303321785088,18432
36,36,[2.20287346 1.5708265 ],-1.801303356533804,18944
37,37,[2.20290229 1.57077734],-1.801303395333755,19456
38,38,[2.20290229 1.57077734],-1.801303395333755,19968
39,39,[2.20290229 1.57077734],-1.801303395333755,20480
40,40,[2.20290229 1.57077734],-1.801303395333755,20992
41,41,[2.20290768 1.57080867],-1.8013034038562046,21504
42,42,[2.20290768 1.57080867],-1.8013034038562046,22016
43,43,[2.20290112 1.57079334],-1.801303409423049,22528
44,44,[2.20290112 1.57079334],-1.801303409423049,23040
45,45,[2.20290112 1.57079334],-1.801303409423049,23552
46,46,[2.20290482 1.57079926],-1.8013034097421383,24064
47,47,[2.2029051  1.57079441],-1.8013034099462715,24576
48,48,[2.2029051  1.57079441],-1.8013034099462715,25088
49,49,[2.2029065  1.57079552],-1.8013034100567111,25600
50,50,[2.2029065  1.57079552],-1.8013034100567111,26112
51,51,[2.2029065  1.57079552],-1.8013034100567111,26624
52,52,[2.2029065  1.57079552],-1.8013034100567111,27136
53,53,[2.2029051  1.57079615],-1.8013034100943828,27648
54,54,[2.2029051  1.57079615],-1.8013034100943828,28160
55,55,[2.2029058  1.57079638],-1.8013034100971208,28672
56,56,[2.2029058  1.57079638],-1.8013034100971208,29184
57,57,[2.2029058  1.57079638],-1.8013034100971208,29696
58,58,[2.2029058  1.57079638],-1.8013034100971208,30208
