,#gen,xbest,f(xbest),eval
0,1,"[-22.2057556  -31.02460991 -19.3642193   27.01319722 -12.9882857
   7.04751186   8.97439231  -5.92307483 -22.99000009   0.87449077]",20.184022277631936,1024
1,2,"[-21.94154128 -30.68792963 -19.09800584  27.07127947 -12.96839039
   7.16624014   8.97856632  -6.01755788 -23.86123718   0.97833465]",20.134956405678683,2048
2,3,"[-21.20335217 -30.79593448 -18.99456934  26.94224101 -13.1498187
   6.91958205   8.80729181  -6.16525455 -23.97193433   0.9433493 ]",20.252137896773927,3072
3,4,"[-21.06401269 -30.87189285 -20.73536795  27.10118258 -10.99927487
   7.04187224   8.93639651  -8.0435158  -23.9243712    3.01263182]",19.99377057759836,4096
4,5,"[-21.01798143 -30.84049262 -20.02131249  26.88763427 -12.06428558
   5.97904705   8.94118869  -6.88429107 -23.9069605    1.92157483]",19.85720573626076,5120
5,6,"[-20.88850205 -29.97636699 -20.16080226  26.85206193 -12.12717177
   6.00129429   9.193997    -6.96964156 -23.97257047   2.06582431]",20.02283511409927,6144
6,7,"[-20.76521491 -31.03971896 -18.14362206  25.02578568 -15.91126656
   5.00297264   8.92871789  -5.13547421 -24.10249503  -1.11114902]",20.04641014607197,7168
7,8,"[-2.11095918e+01 -2.97670101e+01 -1.87505496e+01  2.59348279e+01
 -1.50574318e+01  5.13141520e+00  9.04247581e+00 -5.97267806e+00
 -2.42057780e+01 -3.54762330e-03]",20.251209257230418,8192
8,9,"[-21.13642747 -29.1867823  -19.85960883  26.90709814 -14.04521523
   5.15113412   8.90295104  -6.84081855 -23.80965811   0.91314998]",20.258190494720385,9216
9,10,"[-21.01280811 -30.02188928 -19.07932103  25.95359514 -15.1441476
   5.23732954   8.84400322  -5.8234262  -24.93399038  -0.06170073]",20.121586566768304,10240
10,11,"[-21.01499537 -30.2506505  -18.85011877  26.0781564  -14.95374724
   5.07447743   8.8197922   -5.91834336 -25.00454255  -0.18983483]",20.20308440796353,11264
11,12,"[-20.96013648 -29.94614308 -18.83923348  26.0481374  -14.81704997
   5.04078888   8.96070859  -5.84403597 -24.97902491  -0.04528792]",19.9222784377926,12288
12,13,"[-21.21039733 -30.02083787 -18.98237477  26.21639089 -15.06687783
   4.89351575   9.20454632  -6.07918864 -25.02656706  -0.11386691]",20.19531686936791,13312
13,14,"[-21.14151957 -30.10605812 -18.89284057  25.91332262 -15.16508269
   4.97243072   8.98935603  -5.83830698 -25.13708911  -0.12451777]",20.11051606008831,14336
14,15,"[-20.83555649 -29.82636432 -19.11489913  26.08284695 -16.05539537
   5.06324002   8.83812462  -6.0584799  -24.94921469  -0.09192961]",20.055242436390905,15360
15,16,"[-21.00532114 -30.0254053  -18.95327281  25.7863615  -15.91183423
   5.16710326   9.10070774  -5.94166983 -25.12573664   0.13715012]",20.075582732149734,16384
16,17,"[-20.96977765 -30.08024869 -18.94174605  25.9898594  -15.96513344
   4.99399996   9.12333944  -6.03288667 -24.99344293  -0.48955812]",20.110239684890267,17408
17,18,"[-21.04024289 -30.08764187 -18.83928389  25.18460622 -16.0642245
   4.96616866   8.96539162  -5.91894683 -24.84207317   0.07462588]",19.992967395221264,18432
18,19,"[-21.00592454 -29.71563047 -18.92441461  25.94297911 -15.91843734
   5.01569732   9.19773605  -5.89709395 -24.87310048  -0.96649911]",20.140497454898675,19456
19,20,"[-20.89382492 -29.92608736 -18.93450514  26.75856543 -16.12731288
   4.82092417   9.12250001  -5.96560639 -25.04980497  -1.11842969]",20.181625419096083,20480
20,21,"[-21.14186961 -29.8828497  -19.03577518  25.89068187 -16.02364486
   6.12475993   8.94424963  -6.15655764 -25.01216566  -0.86685215]",20.000794199688833,21504
21,22,"[-21.09379805 -30.07593832 -19.19946986  25.97489952 -15.87019358
   6.05555745   8.96603416  -6.0704216  -25.05834215  -1.15107438]",19.990465047726108,22528
22,23,"[-21.10074267 -30.01282385 -19.06367645  25.80686924 -15.93151651
   6.00261935   8.99352497  -5.99120326 -24.6882317   -0.95537138]",20.08539242976442,23552
23,24,"[-21.1517704  -29.96791229 -18.94685217  25.85950877 -16.01093749
   6.03288376   8.97371222  -6.06508537 -24.90277709  -1.76366031]",20.010933365401986,24576
24,25,"[-20.98032659 -29.96719471 -19.06364663  26.05697281 -15.85488655
   6.02029202   8.78670206  -6.18349498 -25.01001483  -1.90666067]",20.018157142574154,25600
25,26,"[-20.9794148  -29.9179615  -19.08663465  26.11913833 -16.05795405
   5.80298457   8.92450847  -5.85677595 -24.95353376  -2.06723509]",19.975437359665825,26624
26,27,"[-20.92298553 -31.04321454 -20.19153291  25.97377557 -14.98006632
   6.16763756   9.23656334  -6.95085175 -25.23803403  -1.86047653]",20.3463621086881,27648
27,28,"[-20.93331277 -31.21909735 -19.86942171  25.91274672 -15.134718
   6.11809836   8.9087114   -6.74172015 -24.99431187  -2.04879197]",20.273443078408963,28672
28,29,"[-21.19614437 -31.07780322 -19.79813642  26.03267462 -15.00340008
   6.9539591    8.92014228  -6.96605235 -25.0859548   -1.94820052]",19.99891026895916,29696
29,30,"[-21.00797833 -31.02638457 -20.00544782  26.20376432 -15.26378295
   6.03346567   9.00424317  -6.91860666 -24.98783852  -1.81802523]",20.142705371598286,30720
30,31,"[-21.14050243 -31.10080127 -19.03519342  26.07085527 -15.20993719
   6.92350571   9.02206816  -6.99782863 -25.04256177  -2.17125365]",20.043398671769435,31744
31,32,"[-21.2318802  -31.0073413  -18.99380646  26.10433464 -14.88547663
   7.01466643   9.01139619  -7.00295036 -25.10081275  -1.84128844]",20.016014423786697,32768
32,33,"[-21.10881707 -30.87930197 -19.00343594  25.90985856 -14.90468164
   7.01143078   9.01729296  -7.02328893 -24.75779081  -1.84418154]",20.058650264175128,33792
33,34,"[-21.50215552 -31.06648564 -18.92196547  25.89944729 -14.96559409
   6.92380697   8.90053982  -7.1738717  -25.00261335  -1.9342079 ]",20.29550447883881,34816
34,35,"[-20.73088363 -30.92908308 -19.03006829  26.03344951 -14.96129475
   7.15142535   9.11998676  -6.87822567 -24.99701538  -2.02334447]",20.066926505825027,35840
35,36,"[-21.06305031 -31.1388761  -18.9795409   25.91540064 -15.1805746
   6.90025769   9.87236518  -7.01744226 -24.81596847  -1.82807013]",20.18373240908389,36864
36,37,"[-21.23909173 -31.09502838 -19.33343967  25.99915671 -15.01942504
   7.0522448   10.01774226  -6.98417807 -24.95623144  -1.8879815 ]",20.22528624519091,37888
37,38,"[-20.95455931 -31.07095608 -19.00494665  26.92362254 -15.03835298
   6.95228339   9.03308675  -6.31441932 -25.186068    -2.06393547]",20.118244495646927,38912
38,39,"[-20.98080223 -30.96928099 -18.95824716  26.92771876 -13.90332967
   7.04187876   9.11612666  -6.27142256 -25.19143366  -2.2670902 ]",20.327708155157048,39936
39,40,"[-20.95505895 -31.00555592 -18.8812297   26.97340093 -14.34903627
   6.85666047   8.87758108  -5.95971685 -24.95267539  -2.04855733]",20.16034824921623,40960
40,41,"[-20.89697812 -31.086392   -18.9172896   27.21983596 -15.02240692
   5.95983595   8.81199937  -6.14117627 -24.87593494  -2.00890847]",20.15047178791094,41984
41,42,"[-20.24212561 -31.07263711 -18.92331849  27.01181375 -14.73597456
   6.05413358   8.96720636  -7.10071317 -25.01110976  -2.02101133]",20.129774852662074,43008
42,43,"[-20.08317018 -31.08892125 -18.65035598  27.04826181 -15.00462997
   5.91263842   9.05393228  -7.12904835 -24.9261783   -1.99311691]",20.126894370372828,44032
43,44,"[-19.9551995  -31.08020152 -19.08156154  27.07530498 -14.85832873
   5.86112562   8.80519298  -6.92809922 -25.01748679  -1.95789738]",19.995820458093498,45056
44,45,"[-19.88318307 -30.96887568 -18.8657981   27.15678639 -14.85451278
   5.83350156   9.0400485   -6.99282416 -25.05558632  -2.23859833]",20.215165529938588,46080
45,46,"[-19.16413405 -31.02233954 -19.05002545  27.08024829 -14.02479786
   6.11614708   8.73819193  -7.06846986 -24.80881557  -2.1405593 ]",20.226894280352397,47104
46,47,"[-19.22904954 -31.02119953 -19.11616933  26.93901263 -14.15762678
   6.03975485   8.91303107  -6.83175534 -25.20631331  -2.14166832]",20.298003380979146,48128
47,48,"[-19.10508099 -30.92545182 -19.05507094  27.05629208 -13.06690498
   5.84525117   9.09577208  -7.23141746 -25.16815183  -2.07022391]",20.12562413159512,49152
48,49,"[-20.15498958 -31.24165345 -18.91052601  26.84539028 -14.09945024
   5.84498983   8.90368165  -6.94904784 -24.96926159  -1.99687624]",20.186388338592277,50176
49,50,"[-19.32573952 -30.88852764 -18.9153811   26.93850005 -13.82242306
   5.97617077   9.0439392   -6.9764446  -25.05602471  -1.98489414]",20.12006968933452,51200
50,51,"[-19.04904753 -31.09568906 -18.95954374  27.09206055 -14.13795633
   5.29971093   9.08624274  -6.90908519 -25.13535705  -1.94785726]",20.16235544129638,52224
51,52,"[-19.03650953 -31.03203997 -18.96046536  27.30320112 -14.1630733
   5.85202915   8.89482913  -7.16090115 -24.97172061  -2.04151547]",20.213646734507126,53248
52,53,"[-18.91707654 -30.86628669 -19.03551802  27.27581678 -13.90632337
   5.87152665   9.0708161   -7.00345447 -24.82431893  -2.07567666]",20.180154507064966,54272
53,54,"[-20.08191224 -30.87067667 -18.91481384  27.00220526 -14.9711671
   4.67964663   8.84688052  -7.9251126  -24.93340897  -2.10710606]",20.192082345758305,55296
54,55,"[-18.81707794 -31.01205864 -19.02334025  27.10294222 -13.84865407
   5.89748099   8.94088337  -7.91939856 -24.04480579  -1.86460155]",19.981987795983553,56320
55,56,"[-18.99912204 -31.19433728 -19.13949531  27.01409456 -14.0381105
   5.91150732   9.08583977  -7.76369288 -24.96543324  -1.86431947]",20.13494115753584,57344
56,57,"[-18.92716966 -30.87079913 -18.95329785  26.93432396 -14.14216923
   5.70706135   8.9833949   -7.1694688  -25.1012081   -2.07652969]",20.20478205610245,58368
57,58,"[-18.91823669 -30.85437346 -18.10081219  26.97415366 -14.02681707
   5.88505667   9.062285    -7.96304076 -24.84587258  -1.67260283]",20.192275704310095,59392
58,59,"[-19.02861481 -30.10233298 -19.08382615  27.06684573 -14.06669482
   5.91949265   8.90396738  -8.67954747 -24.79759622  -1.95208569]",20.197196972423768,60416
59,60,"[-19.11935914 -30.16141742 -18.93325578  27.14513588 -14.03334824
   5.93023689   8.93592207  -8.91194303 -25.02682916  -2.208789  ]",20.060036345767646,61440
60,61,"[-18.82682318 -29.82072838 -18.86519142  27.01949167 -13.9878287
   5.99695998   8.2388636   -9.02528721 -24.99576764  -1.8136322 ]",20.188630384857895,62464
61,62,"[-18.90855252 -29.75781471 -18.86758207  26.96103145 -14.12202803
   6.85413237   7.84965033  -8.95454755 -24.97065916  -1.93986072]",20.122533949571338,63488
62,63,"[-19.87038107 -30.10728297 -19.1234486   27.14848827 -13.25738804
   6.15566382   8.05473518  -9.03427653 -25.14659367  -2.04264329]",20.24863025774864,64512
63,64,"[-18.89635052 -30.12660587 -18.8198721   26.9465815  -14.03017505
   6.27528561   7.9513683   -8.96666861 -24.96230419  -0.98877959]",20.067541750491905,65536
64,65,"[-19.88209072 -30.02781063 -19.02072432  27.26645572 -12.98526868
   6.09962437   8.16407366  -9.00281618 -24.94422232  -1.90636844]",20.052501486246523,66560
65,66,"[-19.83073116 -29.11438135 -18.91831481  27.03801946 -12.94064115
   5.95464934   8.08883659  -9.00361226 -24.80304062  -1.83638622]",20.037060865882854,67584
66,67,"[-20.09695077 -29.00244239 -19.09755687  27.01425928 -12.95577833
   6.00586428   7.96403422  -8.40346333 -24.94795918  -1.98698837]",20.032813879952556,68608
67,68,"[-19.91203253 -29.08320493 -18.80934287  26.94116503 -12.96000793
   5.98074781   8.11912853  -7.92438106 -24.7407401   -2.01228987]",20.05626857238967,69632
68,69,"[-20.0617363  -29.04349362 -18.80471465  26.95396828 -12.87664286
   6.04120458   7.99305369  -7.85753136 -24.77429952  -2.08858691]",20.06643102088973,70656
69,70,"[-19.93591895 -29.20477379 -18.08183129  26.85147117 -12.95472844
   6.07319573   7.9636225   -7.8941759  -25.06536147  -1.97201577]",19.911097252828714,71680
70,71,"[-19.92419457 -29.00321449 -18.91491281  27.08603031 -13.15746725
   6.11246483   7.7760956   -7.95480328 -24.96544959  -1.96684152]",19.962748934346237,72704
71,72,"[-20.20535021 -29.16356518 -18.84685788  27.07781135 -13.06805852
   5.98882615   7.87523744  -8.02652749 -24.92996488  -2.09365241]",20.056028387301797,73728
72,73,"[-19.80293169 -29.14523084 -19.02067437  26.75426255 -13.02724512
   6.04005904   8.07359785  -7.98957787 -25.14631912  -2.0613255 ]",20.104376507099534,74752
73,74,"[-19.79475744 -29.03642451 -19.07610992  26.85660867 -12.79033922
   5.88550981   7.85765459  -7.9307174  -25.02034576  -1.8413178 ]",20.20162695704605,75776
74,75,"[-20.15373995 -28.81838501 -19.07178005  26.84055555 -13.08061333
   5.90319143   8.999372    -6.96999014 -25.01718431  -1.89794361]",19.982786751478415,76800
75,76,"[-19.90920268 -28.92543951 -20.04879342  25.04330686 -12.82715664
   6.23846988  10.1131224   -7.11785209 -25.1225908   -2.04038189]",20.086220784118655,77824
76,77,"[-20.1168621  -29.13271486 -18.86849446  26.8425626  -11.97888448
   6.07594794   9.03546851  -7.00551497 -25.11824965  -1.82191456]",20.029410192331593,78848
77,78,"[-19.82766666 -28.88819259 -18.83700388  26.91063136 -11.8249936
   6.12541254   8.04362705  -6.95071775 -25.13267924  -1.9183146 ]",20.111756429594475,79872
78,79,"[-19.97747891 -28.92228906 -18.62984806  26.97602249 -12.06711164
   6.09657333   7.96627983  -7.15658746 -24.94074885  -2.00386797]",20.079640976800885,80896
79,80,"[-20.16413497 -28.99704672 -19.01062735  26.90636892 -11.95469797
   5.88910767   8.81338602  -7.00857466 -24.8421459   -1.97236317]",19.954339019066165,81920
80,81,"[-20.03144344 -29.05977186 -19.05764073  26.98178054 -11.14392572
   5.85405078   9.0086438   -7.00528072 -25.08128186  -1.96028751]",19.74099039117583,82944
81,82,"[-19.89099694 -29.13398611 -18.90991022  27.21258967 -10.08904612
   6.1180508    8.99159534  -6.98067064 -24.81536513  -2.18014951]",20.172088055669303,83968
82,83,"[-20.07951778 -29.08061252 -18.98435676  26.75710699  -9.98628988
   6.04868429   9.05775541  -6.97153138 -24.71461763  -2.07539497]",20.080404524751753,84992
83,84,"[-20.11752386 -28.92561716 -19.07328289  26.96686387  -9.96195265
   5.98859691   8.87713941  -7.24053498 -24.87837771  -1.94981931]",19.957414696571536,86016
84,85,"[-20.08621294 -28.81753727 -18.76047254  26.96457058  -9.89444569
   6.79931986   8.90391188  -7.05149959 -24.91309584  -2.04178779]",20.150290434728955,87040
85,86,"[-20.12352801 -27.96772886 -18.89927475  26.95131198 -10.12577617
   6.06057284   8.80973659  -7.03148317 -24.66667997  -1.91919705]",20.168219607554754,88064
86,87,"[-20.75922932 -27.04976906 -18.99470902  26.91871035  -9.98853362
   5.92372305   9.16387586  -7.184236   -24.08813686  -1.8599518 ]",20.07947396309586,89088
87,88,"[-20.84034774 -26.91673462 -19.01312128  26.94418963  -9.84892599
   5.97036202   9.06299402  -7.11281779 -24.08432573  -1.93902748]",19.814572969557513,90112
88,89,"[-19.96616915 -28.121775   -19.19523051  27.02419153  -9.87187488
   6.05941553   8.99064519  -7.10825203 -24.95767153  -1.71002494]",20.11074187933559,91136
89,90,"[-20.019339   -28.10993124 -18.92484961  27.26987483  -9.96768176
   7.11761753   9.05299628  -7.15716576 -23.84429995  -1.97814064]",20.069460615398416,92160
90,91,"[-20.05937635 -28.07273598 -17.90086154  26.84670362  -9.16331887
   6.93778534   9.09501155  -7.1026071  -23.88923019  -1.92993728]",19.90232196455396,93184
91,92,"[-19.86594427 -27.94341024 -17.8972354   27.10369928 -10.21299001
   7.04770787   8.98628806  -6.90179165 -23.82492832  -2.15988873]",20.070753214552212,94208
92,93,"[-20.00010635 -27.95063612 -17.91385322  27.13878332 -10.09276789
   6.95232494   7.99987999  -6.89833332 -23.91444074  -2.26124563]",19.930534410589473,95232
93,94,"[-19.88821399 -28.08973442 -17.92171734  27.21667067 -10.1601594
   6.96607501   8.940979    -6.97974354 -23.95544584  -2.07998669]",19.90958900196783,96256
94,95,"[-19.9784119  -28.18788524 -18.06598537  27.75627864  -9.98069098
   7.11975635   8.96161468  -6.84345569 -23.9694724   -2.05739055]",20.027405045054643,97280
95,96,"[-19.97796683 -28.34302012 -18.06800382  26.94415643  -9.94671121
   6.93197046   8.80098394  -7.00636567 -24.03302594  -2.1186516 ]",20.082387513799624,98304
96,97,"[-19.91377605 -28.05638808 -17.9694657   27.0713631   -9.78625438
   6.9107302    8.80325584  -7.34113862 -23.84960658  -1.91618408]",20.302930422844696,99328
