,#gen,xbest,f(xbest),eval
0,1,"[ 4.31979339  6.44200461 -0.47819008  8.45967763  6.30151311 -4.52675985
  8.86867946 -4.374111    3.45836604 -0.49384419]",132220452.84229432,1024
1,2,"[ 4.22630489  5.98559989  0.43449515  8.16905902  5.98892565 -4.71034299
  8.3441569  -4.03070124  2.46658307 -1.19746757]",60656085.622677654,2048
2,3,"[ 4.42191026  6.1156115   0.57163609  8.12066195  5.81594359 -5.
  7.61899799 -4.94187642  2.49532337 -1.69924766]",22927938.174645755,3072
3,4,"[ 4.04129281  5.82295988 -0.54320951  7.56844695  4.97257947 -4.77796319
  7.86202029 -4.45891606  2.46596028 -2.72359051]",9052513.391990367,4096
4,5,"[ 3.45904481  5.18928283 -0.91779757  7.31627807  4.62896912 -4.74383558
  7.16429505 -4.62458289  1.72478088 -3.25243544]",946746.5750465314,5120
5,6,"[ 3.62892331  4.70383589 -1.33434561  6.34620879  4.73873842 -4.81123871
  7.03972904 -5.          1.0742493  -3.67439802]",17513.180173694484,6144
6,7,"[ 3.55294903  4.61341943 -1.52878838  5.48729001  4.33363723 -4.78069276
  7.12350722 -4.77003563  0.54538448 -3.98945012]",197.72547278629725,7168
7,8,"[ 3.24807572  4.13715219 -1.57926416  5.56979363  4.57620803 -4.21341362
  5.87444187 -4.56202358  0.50199758 -3.66028428]",169.88182872825422,8192
8,9,"[ 3.07398393  3.5471863  -0.94537544  4.9785203   4.66580554 -3.41089638
  5.52185849 -4.50020975  0.41914546 -3.61925336]",145.2626083505989,9216
9,10,"[ 3.17195201  3.95938298 -0.53015136  4.57570033  3.978919   -3.35893628
  5.26533673 -3.91828642  0.19301154 -3.49520926]",129.4270321808343,10240
10,11,"[ 3.0976108   3.67570857 -0.44595767  3.38382148  3.6567277  -3.0441197
  5.50145796 -3.66257773 -0.142229   -3.0574064 ]",110.44238649103757,11264
11,12,"[ 2.83311707  3.89404411 -0.14107867  3.22057791  3.3623925  -2.25345365
  4.65000421 -3.70592406 -0.18890127 -2.88329846]",97.76830633731954,12288
12,13,"[ 2.99870945  3.45999343  0.10412397  2.52676131  3.57461003 -2.49601515
  4.46147526 -3.37353341 -0.21712736 -2.48007242]",84.64429229653165,13312
13,14,"[ 2.67048797  3.1469074  -0.19926832  2.61788589  2.54521559 -2.63680801
  4.5496023  -2.87861818 -0.39038797 -2.14208957]",71.24305821667433,14336
14,15,"[ 3.10119     2.58670647 -0.34510971  2.10215333  3.00685768 -1.80488972
  3.85782703 -2.78370331 -0.27439247 -2.16557247]",60.802211196529285,15360
15,16,"[ 2.90907703  2.63934849 -0.30234088  1.79872039  2.59664479 -1.44180763
  3.22238407 -2.36205195 -0.30361551 -1.99130002]",47.629981531938505,16384
16,17,"[ 3.16692582  1.74677763 -0.08147389  1.36960298  2.61511603 -1.11127871
  2.52771192 -2.42211662 -0.21445809 -1.41718687]",37.68668929251944,17408
17,18,"[ 2.93214776  2.19313058  0.16212764  0.86280025  2.3730039  -0.88760313
  1.8592517  -1.97433429 -0.30889129 -1.21861909]",29.534701064903643,18432
18,19,"[ 2.46666945  1.3480578   0.39116542  1.00205273  2.21561554 -0.62295489
  1.39856334 -1.9521642   0.35369075 -1.5128419 ]",22.54433141649731,19456
19,20,"[ 1.84014546  1.01020366  0.15390335  1.41499626  1.74058806 -0.89978204
  1.00019279 -1.4450326   0.50604532 -1.26131984]",15.854666496303176,20480
20,21,"[ 1.5609565   1.18705029  0.2327288   1.36191608  1.10003171 -0.54487857
  1.07833874 -1.21002288  0.09213887 -1.08390964]",11.101717908242936,21504
21,22,"[ 0.65607969  0.91334588  0.61592202  0.65445177  1.29267349 -0.33767916
  0.62041418 -1.0199218   0.35802687 -1.13446162]",7.0973877752121775,22528
22,23,"[ 0.51624351  0.54903219  0.69612345  0.99149841  0.95341499 -0.59913242
  0.46070064 -0.54174246  0.09255298 -0.91186227]",5.049978148041715,23552
23,24,"[ 0.44470739  0.74860914  0.55948598  0.22561404  0.84626697 -0.16101756
  0.40116263 -0.07449553 -0.35177344 -0.66237591]",2.6394528929551475,24576
24,25,"[ 0.48144068  0.65813802  0.12973047 -0.08623588  0.87065317 -0.11709729
  0.15793058  0.07901107 -0.07298772 -0.61715975]",2.0658114952444255,25600
25,26,"[ 0.40882518  0.31978833 -0.27764794 -0.21226387  0.6118434   0.1652247
  0.10505177  0.29113801 -0.15471239 -0.54130772]",1.3219844293068663,26624
26,27,"[ 0.16259713  0.19612084 -0.09372526  0.27463824  0.45060452  0.48725811
  0.09695738 -0.0406077  -0.48030953 -0.27268004]",0.9277414283341127,27648
27,28,"[ 2.49456296e-01  2.51189414e-01  4.18245807e-02  1.80548257e-01
  5.76687512e-01 -5.84153933e-02 -3.80495149e-01  3.76135964e-04
 -6.96211881e-02 -8.85816624e-02]",0.6547591158312569,28672
28,29,"[ 0.22104733  0.01174057 -0.00099271  0.35958003  0.21839432 -0.12337621
  0.14547839 -0.30167257  0.193763   -0.22377306]",0.4617799180175453,29696
29,30,"[ 0.0651575   0.10560294  0.0345287  -0.02578009  0.5271119   0.13605377
 -0.12508372 -0.1489452   0.24861961 -0.38416855]",0.5641516239846185,30720
30,31,"[ 0.23463866 -0.06640471  0.05694504 -0.21873977 -0.23734019 -0.14844036
  0.19318978 -0.04835101  0.3803182  -0.19603625]",0.47897078754670613,31744
31,32,"[-0.0311228  -0.14309158  0.16564568 -0.11122284 -0.04310019  0.49609048
 -0.06887002  0.01942823 -0.02805039 -0.20328871]",0.3701402220259482,32768
32,33,"[-0.48092414 -0.00637242  0.24373137 -0.27265004 -0.28857176  0.12655499
  0.12081333  0.12793269  0.11789086 -0.13837412]",0.5284663539720176,33792
33,34,"[-0.5135192  -0.19512034 -0.10876303  0.06140072 -0.11554609  0.20386885
 -0.04649839 -0.01212865 -0.09592773  0.16190855]",0.4100454883772549,34816
34,35,"[-0.21078681  0.09558395 -0.34970399  0.08606278 -0.20809353 -0.01080058
  0.0699982   0.02682621  0.11092538 -0.01285979]",0.3142733007438214,35840
35,36,"[ 0.03689604 -0.01579466  0.01100304  0.09863554 -0.16348237 -0.01656971
 -0.11008257 -0.01564544  0.0983605   0.02286745]",0.13666023827174392,36864
36,37,"[ 0.08450169  0.279992   -0.08485553  0.13401704 -0.07837081  0.04947979
 -0.09660676 -0.18545797  0.22195753 -0.06685759]",0.21674994632089536,37888
37,38,"[-0.02680627  0.06011242 -0.43862724  0.15526314 -0.29299048  0.33975333
  0.10901469 -0.13285089 -0.03612236  0.05635431]",0.46412532854717986,38912
38,39,"[-4.02565843e-02 -4.90607517e-02 -8.92050480e-02  4.85627717e-01
  5.42142020e-02 -1.20237634e-01  1.31906707e-01 -1.75127360e-01
 -1.19961400e-01  3.52515401e-04]",0.5941820642103617,39936
39,40,"[ 0.3867673  -0.1308453   0.04324943  0.01581528  0.21792343 -0.10477961
  0.02905259 -0.13942964 -0.0760642   0.0778644 ]",0.2609542954473246,40960
40,41,"[ 0.2494878   0.08642611 -0.00141766 -0.14426192  0.21031529  0.28026156
 -0.13371982  0.19476974 -0.23202668 -0.1151699 ]",0.3381305511830693,41984
41,42,"[ 0.19920123 -0.02277099  0.01157739 -0.14180645  0.097164   -0.11691168
  0.33257722  0.11118543 -0.23097597 -0.06958045]",0.2882075517875949,43008
42,43,"[ 0.25043367  0.19853905 -0.2225011   0.16486402 -0.10693264  0.00261777
 -0.10549359  0.04807551  0.1237945  -0.08761596]",0.22672649616783971,44032
43,44,"[-0.1899005  -0.17687785  0.00120599 -0.24991724 -0.18448519  0.20939662
  0.17935437 -0.17342062 -0.00122853  0.12681851]",0.2925407299778306,45056
44,45,"[-0.33416634 -0.21713526 -0.05490512 -0.06998519  0.11867102  0.04127412
 -0.04457724 -0.30275992  0.31374032  0.01155035]",0.40341415205371794,46080
45,46,"[-0.15768174 -0.00320315 -0.42129213 -0.06185838  0.10636279  0.11681204
  0.01016122 -0.02134069 -0.02546578  0.06058649]",0.2642112596856712,47104
46,47,"[-0.23686485 -0.28225391  0.46308768  0.13571308  0.16826979  0.00347006
  0.00098937 -0.03316662 -0.20366379  0.03042735]",0.4846222557668489,48128
47,48,"[ 0.15055496 -0.00271792  0.24594014  0.0388761  -0.10605376  0.19603741
 -0.1456453  -0.23922034  0.11487492  0.06748229]",0.4866739900240386,49152
48,49,"[ 0.19553546 -0.11516093  0.44702967 -0.07459276  0.17265957 -0.10753369
 -0.25160602 -0.09808067  0.04690762  0.09679778]",0.38773068700610874,50176
49,50,"[ 0.00679013  0.4727856  -0.0499873   0.01444285 -0.11886205  0.110809
 -0.1150468  -0.10060905 -0.05442883  0.09626074]",0.33284019317651264,51200
50,51,"[-0.28370845  0.07178868  0.19345622 -0.09284935 -0.02907006 -0.30351831
  0.18707305 -0.280787    0.28023641  0.01115134]",0.4590838682727339,52224
