,#gen,xbest,f(xbest),eval
0,0,"[ 0.68584852 -0.39190047 -1.23385591  0.65212348  0.19913063 -0.69061612
  1.31017745  0.88688757  1.05635383  1.5809671 ]",24647.590743297224,1024
1,1,"[ 0.68584852 -0.39190047 -1.23385591  0.65212348  0.19913063 -0.69061612
  1.31017745  0.88688757  1.05635383  1.5809671 ]",24647.590743297224,2048
2,2,"[ 0.68584852 -0.39190047 -1.23385591  0.65212348  0.19913063 -0.69061612
  1.31017745  0.88688757  1.05635383  1.5809671 ]",24647.590743297224,3072
3,3,"[ 0.68584852 -0.39190047 -1.23385591  0.65212348  0.19913063 -0.69061612
  1.31017745  0.88688757  1.05635383  1.5809671 ]",24647.590743297224,4096
4,4,"[-1.91170214  0.87245387 -0.10761801  2.78733707  0.0636163  -1.01123232
  2.47001386  0.93330367  1.66671715 -3.65518881]",14763.010538734758,5120
5,5,"[-1.91170214  0.87245387 -0.10761801  2.78733707  0.0636163  -1.01123232
  2.47001386  0.93330367  1.66671715 -3.65518881]",14763.010538734758,6144
6,6,"[-1.91170214  0.87245387 -0.10761801  2.78733707  0.0636163  -1.01123232
  2.47001386  0.93330367  1.66671715 -3.65518881]",14763.010538734758,7168
7,7,"[-1.91170214  0.87245387 -0.10761801  2.78733707  0.0636163  -1.01123232
  2.47001386  0.93330367  1.66671715 -3.65518881]",14763.010538734758,8192
8,8,"[-1.91170214  0.87245387 -0.10761801  2.78733707  0.0636163  -1.01123232
  2.47001386  0.93330367  1.66671715 -3.65518881]",14763.010538734758,9216
9,9,"[-0.97977947 -1.86776541 -2.48943529  0.9617239   1.30789014  1.27531576
 -1.76272702 -1.69731273 -0.92803632  0.59162536]",12106.104591561774,10240
10,10,"[-0.97977947 -1.86776541 -2.48943529  0.9617239   1.30789014  1.27531576
 -1.76272702 -1.69731273 -0.92803632  0.59162536]",12106.104591561774,11264
11,11,"[-0.97977947 -1.86776541 -2.48943529  0.9617239   1.30789014  1.27531576
 -1.76272702 -1.69731273 -0.92803632  0.59162536]",12106.104591561774,12288
12,12,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,13312
13,13,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,14336
14,14,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,15360
15,15,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,16384
16,16,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,17408
17,17,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,18432
18,18,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,19456
19,19,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,20480
20,20,"[ 1.06804262  2.6985504   1.30939811 -1.56134082 -0.30653848  0.49115826
 -0.08490955 -1.93193155  3.18660764 10.        ]",6097.027508948731,21504
21,21,"[ 2.36513051  1.5132614   0.64163836  1.86986039  1.71733454  1.41894265
 -1.52994416  0.64464432 -0.60613675  2.50875652]",4819.048035949254,22528
22,22,"[ 2.36513051  1.5132614   0.64163836  1.86986039  1.71733454  1.41894265
 -1.52994416  0.64464432 -0.60613675  2.50875652]",4819.048035949254,23552
23,23,"[ 2.36513051  1.5132614   0.64163836  1.86986039  1.71733454  1.41894265
 -1.52994416  0.64464432 -0.60613675  2.50875652]",4819.048035949254,24576
24,24,"[ 2.36513051  1.5132614   0.64163836  1.86986039  1.71733454  1.41894265
 -1.52994416  0.64464432 -0.60613675  2.50875652]",4819.048035949254,25600
25,25,"[ 2.36513051  1.5132614   0.64163836  1.86986039  1.71733454  1.41894265
 -1.52994416  0.64464432 -0.60613675  2.50875652]",4819.048035949254,26624
