,#gen,xbest,f(xbest),eval
0,1,"[0.87948265 1.37143926 0.40497507 1.25744686 0.40343445 0.92557575
 1.85620182 1.36277764 3.141569   3.141569  ]",-2.8025015191906633,128
1,2,"[2.22641203 1.52239924 0.38611946 2.38403999 2.34327355 2.24803938
 2.57818706 0.74730202 3.141569   1.86646678]",-3.1408265606647356,256
2,3,"[2.04760105 1.49011676 0.         1.9105043  1.54071777 2.03613999
 2.49065504 0.70898024 3.03749782 1.33411002]",-3.5911744478123047,384
3,4,"[2.16148985 1.52196502 1.40207729 2.93353309 2.44077176 1.63883523
 1.44535254 1.28763378 3.141569   0.67066609]",-3.984119429775869,512
4,5,"[2.06797805 1.56920677 1.24756981 2.87269923 2.28494801 1.97658653
 1.64347641 1.35039367 3.141569   0.77266003]",-3.9083541568108675,640
5,6,"[1.9689767  1.5610851  1.38867142 3.01872532 2.2361392  2.3937638
 1.26725105 1.36012523 2.74693561 0.37130183]",-4.1023836430346154,768
6,7,"[2.14335372 1.55172661 1.32033405 2.37943475 2.91467879 2.01176807
 1.43457489 1.41004565 2.86598437 0.51191029]",-4.800775903746967,896
7,8,"[1.93170661 1.67789493 1.39421524 1.92859635 2.60589575 1.70413985
 1.43394686 1.35889315 3.141569   0.73911742]",-4.853067687783218,1024
8,9,"[2.20502755 1.23819245 1.28196539 1.2374555  1.97566226 1.46953426
 1.86099693 1.37943159 3.141569   0.68846526]",-4.250358753500502,1152
9,10,"[1.99800944 1.59091906 1.33680015 1.8626849  2.32609248 1.70350968
 1.91536676 1.37267937 2.44981092 0.62836216]",-4.605714522771653,1280
10,11,"[2.11241593 1.4317589  1.04579478 1.97719504 2.24568255 1.54593678
 1.18186057 1.06130267 2.20333513 0.68546482]",-4.11963220936847,1408
11,12,"[2.20924505 1.61590006 1.15975841 1.9237836  2.11720844 1.80063524
 0.83945211 0.95901178 2.19738046 0.77659014]",-4.32279401866726,1536
12,13,"[2.15943628 1.49369162 1.41764379 2.36973876 1.71340917 1.54583162
 1.25629627 0.69724862 2.90961484 0.80356473]",-3.9019896226863504,1664
13,14,"[2.28551695 1.51104479 1.29591036 2.40634642 1.67848777 1.58296568
 1.76167336 0.60382367 2.18394122 0.38601885]",-4.197083335456797,1792
14,15,"[2.28372361 1.59488555 2.03972497 2.46915874 1.10730102 2.38321078
 1.24507061 0.84467185 1.89920338 0.70697432]",-4.064890104466648,1920
15,16,"[2.35421126 1.71223187 1.97342349 2.28994403 0.97170995 2.16609184
 0.79941174 0.77553661 1.95443829 0.69825054]",-4.4920704451607305,2048
16,17,"[2.06067937 1.71522767 1.34127434 1.92328959 0.95965353 2.94612003
 1.81955112 0.89065802 1.83536361 0.64415607]",-3.8977988185063355,2176
17,18,"[2.20638807 1.44706643 0.9502096  1.97244923 1.03078152 2.38833399
 1.57562047 0.68644511 1.93747277 1.13555613]",-3.9261653772279113,2304
18,19,"[2.31182124 1.51907641 1.14623713 2.02310487 1.10357112 2.71786053
 1.49852145 0.87602043 1.95357458 1.58622652]",-4.820732931633851,2432
19,20,"[2.43000832 1.64266203 1.22904064 1.84737956 1.04591057 2.82349849
 1.38324255 0.8117558  2.21332233 1.69294359]",-4.226378723969672,2560
20,21,"[2.11471949 1.73196203 1.36244229 1.95828553 1.00920391 2.36945651
 1.27386782 1.12370803 1.94735319 1.84413306]",-4.989146285314355,2688
21,22,"[2.24177568 1.60000741 1.31556557 2.08489095 0.69949919 2.03390461
 0.62115006 1.75527717 1.26407438 1.80427774]",-5.315368947539831,2816
22,23,"[2.37262924 1.56379283 1.42284504 1.71270868 1.04234514 2.04133691
 0.78208688 1.75069225 1.71145941 2.05614244]",-4.620681700433526,2944
23,24,"[2.30379657 1.55263142 1.46881953 1.52763794 1.00829584 2.40014081
 0.82911755 1.84390242 1.97608344 2.08770657]",-5.00998391407021,3072
24,25,"[2.16475259 1.51909904 1.25979686 1.70486182 1.61042304 2.42266821
 0.826498   1.36828547 1.52270343 2.4120467 ]",-4.7121602975144885,3200
25,26,"[2.11847123 1.46409091 1.28697285 1.87952592 0.58198349 1.5779486
 1.02875734 1.49245456 1.2598711  3.141569  ]",-4.6092281090037295,3328
26,27,"[2.12543753 1.63897627 0.95161435 1.54325266 1.95320466 2.55515155
 0.8775074  1.34145372 1.66958716 2.53062196]",-4.38445824170555,3456
27,28,"[2.37063275 1.5156145  1.26828964 1.6346015  1.71796133 2.47257019
 0.90059726 1.20206277 2.18970601 1.87795755]",-4.412821907370493,3584
