,#gen,xbest,f(xbest),eval
0,1,"[-23.06996455  -1.24377775  29.04507196  -6.87352289  -6.84414728
 -12.96381248  24.89911386  13.07084877  23.12191292  -4.87945576]",20.014728160316295,1024
1,2,"[-22.85030597  -1.37611044  29.03331011  -7.05803312  -6.89105724
 -13.08203929  25.09765464  13.05422926  22.93201138  -5.01720047]",20.05367412269117,2048
2,3,"[-23.00569741  -1.0057579   29.25346818  -6.92348807  -6.87254572
 -13.06919872  24.91374172  13.24059201  23.06486228  -5.85764989]",20.098402793497073,3072
3,4,"[-23.20571762  -0.2488707   29.04372123  -6.91599228  -6.89366984
 -12.84648132  24.99279496  14.01245449  22.06633414  -5.74342596]",20.202602640559025,4096
4,5,"[-23.846551     0.06903362  28.98105579  -6.84619159  -6.96364563
 -12.89983378  24.90511404  14.07550196  21.90240086  -5.17926368]",19.912137265169974,5120
5,6,"[-22.94261768  -1.008473    29.14467694  -7.19855302  -6.90563393
 -13.19608041  24.88676168  12.86371951  23.1179014   -5.91634849]",20.07138426225337,6144
6,7,"[-22.97619466  -0.79203117  29.02448556  -7.91036951  -6.98720261
 -13.13513907  25.16305558  13.14399538  24.07333515  -5.90820808]",19.97778708658354,7168
7,8,"[-23.07347483  -0.98407984  29.08415519  -8.02767173  -6.95986771
 -13.33792945  25.0990097   12.02347095  22.96981882  -6.02875991]",19.880917987593737,8192
8,9,"[-23.0896447   -1.0784193   29.06931035  -7.961866    -7.01679982
 -13.20634478  25.12424023  12.92956851  22.83781388  -6.04036662]",19.88016114506308,9216
9,10,"[-22.98934884  -0.99065569  29.04875988  -7.87523616  -7.04171666
 -13.03685916  25.04220017  13.17867618  23.06333445  -5.70916747]",19.947663169768113,10240
10,11,"[-23.02884006  -0.91464745  29.08625824  -7.86001403  -7.23765569
 -12.97052614  25.02824776  12.86155204  23.12292336  -5.84904778]",20.019009705227923,11264
11,12,"[-22.86733232  -0.09496196  29.01807795  -7.99219417  -6.93752407
 -13.0095756   24.82678885  12.8387681   23.08648213  -5.97889164]",19.807993945737618,12288
12,13,"[-22.90712058  -1.08733826  28.87688492  -7.94222994  -6.83834851
 -13.11499591  25.04642992  12.82528004  23.03959209  -6.05287297]",19.879707177243365,13312
13,14,"[-23.19446342  -2.13213787  29.01279266  -8.00317201  -7.17809549
 -13.0486664   25.00772695  12.90280465  23.05587222  -6.0870461 ]",19.87441185223252,14336
14,15,"[-22.86655611  -1.09292303  28.55159039  -6.95833831  -6.93811081
 -12.98948787  24.93519198  12.9879747   22.94183268  -5.96647553]",20.00729197102494,15360
15,16,"[-22.93914486  -0.97217186  28.14070792  -6.94469605  -7.10740502
 -13.0085006   24.82183219  13.13266245  22.88863674  -6.22134087]",19.990436983360755,16384
16,17,"[-22.95474405  -0.98712742  28.08965143  -6.87810781  -6.94830243
 -12.84111187  24.02088061  12.91714511  22.35629608  -6.00834044]",19.97292532035961,17408
17,18,"[-22.76537415  -0.04065715  27.89172419  -6.86443486  -6.06064889
 -12.99516561  22.90569022  12.77623884  21.90750309  -6.18876454]",20.053889423917933,18432
18,19,"[-22.85667138  -0.05376805  28.16176587  -7.0577759   -5.97693575
 -13.19361744  22.98262647  12.8305286   21.97805016  -5.86329707]",19.894257612284232,19456
19,20,"[-22.91019576   0.03502759  28.18954222  -7.00209764  -5.9760304
 -12.93672435  23.29444309  12.97741275  22.80584119  -6.02504304]",19.986667186060078,20480
20,21,"[-23.03432438  -0.82674693  28.05752791  -6.81255061  -7.00303545
 -13.02597457  23.84340541  13.02087521  22.96479569  -6.12331081]",19.82817468008233,21504
21,22,"[-23.15862377   0.11019943  27.97195593  -6.02154579  -5.87451387
 -12.97962549  23.12775326  13.22318435  23.03238212  -5.90518336]",19.87802392129684,22528
22,23,"[-22.86180792  -0.05402901  28.08331067  -7.76758011  -6.90254402
 -12.9316515   24.02894952  13.0604266   23.00986723  -6.1781346 ]",19.908792860084525,23552
23,24,"[-23.00278025   0.18856623  28.08589931  -6.9712317   -6.2728792
 -12.03622844  23.74645699  12.95595118  23.061371    -5.97457295]",20.04071277793211,24576
24,25,"[-23.07114265  -0.1746124   28.00537087  -7.03304873  -6.0367728
 -11.91547795  22.99321177  13.02295212  23.23038259  -6.03997349]",19.739833517165447,25600
25,26,"[-22.94142886  -0.07402724  28.00069084  -7.15138436  -7.07068004
 -12.08561521  23.25956126  12.95411339  23.06889402  -5.89005755]",19.8582089589427,26624
26,27,"[-24.07814933  -1.06097171  28.07764562  -6.98456565  -6.0180036
 -11.94502441  21.98959065  13.01580991  23.10118419  -6.37133273]",19.858153101410668,27648
27,28,"[-24.04102107  -1.04483131  28.15299195  -6.96378031  -6.25350178
 -12.0001057   22.10312185  13.21064915  23.01641582  -6.04319023]",19.920830332865386,28672
28,29,"[-23.02731012  -0.04694199  28.02517607  -7.13067447  -5.97428976
 -12.59341782  23.04540663  13.09291021  23.12584983  -6.16067917]",20.05631950132465,29696
29,30,"[-22.98312388   0.17186846  28.13750826  -7.1269128   -5.75503578
 -12.88323377  23.04780235  13.13648587  22.86667478  -6.07288851]",20.06136433199513,30720
30,31,"[-22.84360342  -1.04476437  27.21807263  -7.08061764  -5.1653885
 -12.96048144  22.93057293  12.79002726  22.98824637  -5.85978452]",20.01282199431477,31744
31,32,"[-21.98975905   1.10223021  27.72894657  -7.04674858  -6.22359023
 -12.85121996  23.0135728   13.104856    21.93721816  -6.12470602]",20.008547332316923,32768
32,33,"[-22.93175984  -0.920121    26.95193073  -7.17584083  -5.88579607
 -12.98858933  22.78821938  12.98837083  22.86310976  -5.11328489]",19.855286243255318,33792
33,34,"[-22.78128786  -1.01440116  27.01756722  -6.86012873  -6.05733582
 -13.05608832  22.2256904   13.11220381  22.85769837  -6.00070191]",19.921172865804962,34816
34,35,"[-22.00105408  -1.10470458  27.07103267  -7.23587698  -6.11488996
 -12.87189891  22.1291902   13.83756105  22.95395335  -6.04137254]",19.890744632895714,35840
35,36,"[-22.99126017  -1.13424598  26.91402011  -7.05775001  -5.9349618
 -13.22947865  22.81495102  12.85008615  22.77963952  -6.04498383]",20.054022442768517,36864
36,37,"[-23.00910008  -0.90878194  27.03639244  -6.99470793  -5.74094558
 -12.88057476  22.17892389  13.05014625  22.95317803  -5.94119905]",19.812954460375256,37888
37,38,"[-21.96944874  -1.78993991  27.28063113  -8.00249003  -6.04700284
 -12.92106812  22.20090714  13.0631307   23.11902538  -5.95386581]",20.012126783757658,38912
38,39,"[-21.31098824  -1.97137519  27.12607594  -8.20280276  -5.93598887
 -13.06236966  21.87434451  12.98692157  23.00834204  -6.07248861]",19.938369819975424,39936
39,40,"[-21.00011612  -2.2676401   26.8408707   -7.96843518  -5.00541596
 -12.87545728  21.98634876  12.83718711  22.84101983  -5.88153676]",19.939240706591917,40960
