,#gen,xbest,f(xbest),eval
0,1,[2.23706845 1.62480443],-1.6670469939080772,1024
1,2,[2.20518081 1.56278468],-1.7986359519742097,2048
2,3,[2.20661673 1.5831628 ],-1.7948561320677547,3072
3,4,[2.17927768 1.58090256],-1.7882170365669934,4096
4,5,[2.19552678 1.57747437],-1.7986096732320132,5120
5,6,[2.1874575  1.56748367],-1.797016392625053,6144
6,7,[2.19370487 1.56718197],-1.7994064768790046,7168
7,8,[2.20764957 1.58293133],-1.7949448311313798,8192
8,9,[2.21724478 1.5778311 ],-1.7959363452199508,9216
9,10,[2.21461026 1.57362516],-1.798743802112488,10240
10,11,[2.21070042 1.57544437],-1.7994359592660873,11264
11,12,[2.20899584 1.57164418],-1.8006700535571725,12288
12,13,[2.23005224 1.57852532],-1.7868440864692885,13312
13,14,[2.20214719 1.55834105],-1.7950790091547946,14336
14,15,[2.21896332 1.57838039],-1.7947560227827362,15360
15,16,[2.21400326 1.5610746 ],-1.7954970995917732,16384
16,17,[2.19708236 1.56629829],-1.7999370971212243,17408
17,18,[2.19969508 1.56770009],-1.800748710212197,18432
18,19,[2.19792916 1.56236978],-1.7980452905675408,19456
19,20,[2.19815964 1.5658031 ],-1.7999320774754843,20480
20,21,[2.18640434 1.57007232],-1.7969001010895131,21504
21,22,[2.20241174 1.55951646],-1.7961955384152914,22528
22,23,[2.20910085 1.58408031],-1.793496593397742,23552
23,24,[2.21856521 1.57813786],-1.795109662292442,24576
24,25,[2.18877622 1.56901801],-1.797957014467599,25600
25,26,[2.19521795 1.5758815 ],-1.7992965443424818,26624
26,27,[2.1910912  1.57887065],-1.7963991885718624,27648
27,28,[2.17791204 1.58641266],-1.7813955589780917,28672
28,29,[2.2039686  1.58067864],-1.7973128399676308,29696
29,30,[2.21564545 1.5606661 ],-1.7945335817041186,30720
30,31,[2.17726405 1.58212655],-1.7855805382237198,31744
31,32,[2.19671266 1.58171141],-1.7958350949945312,32768
32,33,[2.2023237  1.56968383],-1.80124782104141,33792
33,34,[2.18727016 1.57414533],-1.7969114602715337,34816
34,35,[2.19901567 1.55640807],-1.7927825380740896,35840
35,36,[2.2150906  1.56903155],-1.7987550038835054,36864
36,37,[2.20288143 1.57447264],-1.800754911517492,37888
37,38,[2.21341276 1.56908835],-1.7993847970210308,38912
38,39,[2.18725751 1.55861889],-1.7914175249912803,39936
39,40,[2.21207398 1.57118483],-1.7999267507830157,40960
40,41,[2.20802654 1.5681742 ],-1.8005983774761205,41984
41,42,[2.20558131 1.57292771],-1.8010027022414261,43008
42,43,[2.18076218 1.57813451],-1.7912597161642347,44032
43,44,[2.21571532 1.57123084],-1.79861827043649,45056
44,45,[2.20803285 1.57726576],-1.7991747190419973,46080
45,46,[2.2046307  1.58556953],-1.7923720729141195,47104
46,47,[2.2114456  1.57063246],-1.8001134005208135,48128
47,48,[2.23134638 1.57582951],-1.7870712895645946,49152
48,49,[2.21258055 1.57911904],-1.7969608484153183,50176
49,50,[2.22573783 1.56460708],-1.7912460217852946,51200
50,51,[2.19070556 1.55804312],-1.792386907732197,52224
51,52,[2.18073843 1.59180931],-1.7754699249957189,53248
52,53,[2.19500839 1.57830486],-1.7980023452182752,54272
53,54,[2.21537068 1.57882072],-1.7961505277373628,55296
54,55,[2.17997183 1.55062688],-1.7767433754335815,56320
55,56,[2.19592071 1.57818218],-1.7982960584051706,57344
56,57,[2.23914606 1.58255069],-1.7742792158338507,58368
57,58,[2.1957876  1.57021953],-1.8004694509259145,59392
58,59,[2.21807172 1.57747475],-1.795736503594211,60416
59,60,[2.20457008 1.57055603],-1.8012560078540192,61440
60,61,[2.20924087 1.55863035],-1.7947179345702584,62464
61,62,[2.18930418 1.57526825],-1.797507977383911,63488
62,63,[2.20518587 1.5807163 ],-1.797216251804508,64512
63,64,[2.18890814 1.56810876],-1.7978524682917203,65536
64,65,[2.221177   1.57918029],-1.792994403812325,66560
65,66,[2.1920492  1.56268657],-1.796752440169596,67584
66,67,[2.20210435 1.56501586],-1.7999455134238844,68608
67,68,[2.20090397 1.57646969],-1.7999309539298198,69632
68,69,[2.20590344 1.58491522],-1.7930439433448164,70656
69,70,[2.20430002 1.58246733],-1.7957295422920119,71680
70,71,[2.20550994 1.57370866],-1.8008489679863775,72704
71,72,[2.20008259 1.57210614],-1.801104523714757,73728
72,73,[2.20032645 1.56582464],-1.8001979732368243,74752
73,74,[2.21460986 1.56367186],-1.7970240982079284,75776
74,75,[2.20380398 1.5785725 ],-1.7988322340622016,76800
75,76,[2.19679789 1.56351944],-1.798566362979845,77824
76,77,[2.19481061 1.58294406],-1.7942381260620373,78848
77,78,[2.21053667 1.57266188],-1.8002132281721186,79872
78,79,[2.19469681 1.57694416],-1.7986773624357058,80896
79,80,[2.20088599 1.56216455],-1.798240334337771,81920
80,81,[2.21380035 1.57685448],-1.7978763629965964,82944
81,82,[2.19423206 1.5823677 ],-1.7946383039049265,83968
82,83,[2.18799766 1.57409387],-1.7972812741748667,84992
83,84,[2.19520749 1.57666667],-1.7989441782797317,86016
84,85,[2.21223766 1.56803393],-1.7995749684325686,87040
85,86,[2.19764531 1.56209063],-1.7978066698419166,88064
86,87,[2.21906163 1.5696307 ],-1.796987239984349,89088
87,88,[2.19534301 1.57273564],-1.800224968795339,90112
88,89,[2.2038888  1.57665713],-1.7998923661560882,91136
89,90,[2.23235643 1.57770818],-1.785206194701298,92160
90,91,[2.21890514 1.57295189],-1.7969360282781066,93184
91,92,[2.19960167 1.56457513],-1.7995660979660928,94208
92,93,[2.21388228 1.56729288],-1.7988422023464234,95232
93,94,[2.1871609  1.57349276],-1.7970167455420782,96256
94,95,[2.20669912 1.57010608],-1.8010498694955641,97280
95,96,[2.20211151 1.55825029],-1.7949878396036922,98304
96,97,[2.2099202  1.57056712],-1.8004994966589964,99328
97,98,[2.20148669 1.57002981],-1.8012469292610698,100352
