,popsize,DE,CEM
0,32,0.0(0.0),6.15(8.86)
1,64,0.0(0.0),2.0(5.41)
2,128,0.0(0.0),3.7(7.18)
3,256,0.0(0.0),7.62(9.24)
4,512,0.0(0.0),5.88(8.89)
5,1024,0.0(0.0),7.8(9.48)
