,popsize,DE,CEM
0,32,0.0(0.0),49.25(18.27)
1,64,0.0(0.0),38.63(10.23)
2,128,1.53(0.25),31.42(6.68)
3,256,6.67(0.31),29.74(6.03)
4,512,32.14(7.46),26.0(3.66)
5,1024,144.98(48.04),24.81(9.15)
