,popsize,DE,CEM
0,32,0.0(0.0),0.21(0.19)
1,64,0.0(0.0),0.03(0.03)
2,128,0.0(0.0),0.02(0.02)
3,256,0.0(0.0),0.01(0.02)
4,512,0.0(0.0),0.0(0.0)
5,1024,0.0(0.0),0.0(0.0)
