,popsize,DE,CEM
0,32,0.0(0.0),0.01(0.01)
1,64,0.0(0.0),0.01(0.01)
2,128,0.0(0.0),0.0(0.0)
3,256,0.0(0.0),0.0(0.0)
4,512,0.0(0.0),0.0(0.0)
5,1024,0.0(0.0),0.0(0.0)
