,popsize,DE,CEM
0,32,-9.63(0.06),-3.32(0.39)
1,64,-9.62(0.07),-3.92(0.53)
2,128,-9.02(0.21),-4.11(0.4)
3,256,-8.09(0.18),-4.49(0.2)
4,512,-7.37(0.28),-4.55(0.45)
5,1024,-6.78(0.28),-5.02(0.35)
