,popsize,DE,CEM
0,32,0.0(0.0),2.1(0.16)
1,64,0.0(0.0),3.51(5.73)
2,128,0.0(0.0),9.79(8.83)
3,256,0.01(0.0),18.03(5.66)
4,512,1.89(0.24),19.95(0.73)
5,1024,6.13(0.44),18.87(3.3)
