,popsize,DE,CEM
0,32,0.0(0.0),0.45(0.13)
1,64,0.0(0.0),0.35(0.08)
2,128,0.0(0.0),0.28(0.07)
3,256,0.0(0.0),0.23(0.06)
4,512,0.0(0.0),0.19(0.05)
5,1024,0.25(0.06),0.16(0.03)
