,popsize,DE,CEM
0,32,-1.8(0.0),-1.7(0.07)
1,64,-1.8(0.0),-1.72(0.06)
2,128,-1.8(0.0),-1.77(0.02)
3,256,-1.8(0.0),-1.79(0.01)
4,512,-1.8(0.0),-1.79(0.01)
5,1024,-1.8(0.0),-1.8(0.01)
